name,bottom_limit,top_limit
Ikz2,1.799,1.84
Uobr,0.665,0.71
Uzp,2,3.75
Iutz1,13,23
Iutz2,12,25
Usi,3.4,4.4
Rsi,450,520
Is,5.8,6.9
